0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.37,0.2,0.2,0.2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,"","",0.07,"","",-0.3,"","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,0.2,0.2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,0.07,0.07,0.07,-0.37,-0.3,"","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,0.07,-0.3,"",-0.42,-0.25,"","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.14,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,"","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.23,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,"","",-0.44,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,"",-0.46,"","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.23,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,-0.44,-0.44,-0.46,-0.37,-0.37,"","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.3,-0.37,-0.37,-0.37,-0.44,-0.44,-0.46,-0.46,-0.46,-0.46,"","","",-0.53,"","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.44,-0.46,-0.46,-0.46,-0.46,-0.53,-0.7,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,-0.44,-0.44,-0.46,-0.46,-0.46,-0.46,-0.53,-0.53,-0.37,-0.53,-0.53,-0.67,-0.37,-0.37,-0.44,"","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.44,-0.46,-0.46,-0.46,-0.46,-0.53,-0.53,-0.53,-0.6,-0.53,0.07,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.53,-0.53,-0.53,-0.46,-0.6,-0.6,-0.6,-0.63,-0.46,-0.44,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,-0.23,-0.3,-0.3,-0.3,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.44,-0.46,-0.46,-0.46,-0.46,-0.46,-0.53,-0.53,-0.53,-0.53,-0.6,-0.6,-0.6,-0.63,-0.6,-0.6,-0.67,-0.53,"",-0.6,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,-0.23,-0.3,-0.3,-0.37,-0.37,-0.37,-0.37,-0.44,-0.37,-0.37,-0.44,-0.44,-0.44,-0.46,-0.46,-0.46,-0.46,-0.53,-0.53,-0.53,-0.53,-0.53,-0.6,-0.6,-0.6,-0.63,-0.65,-0.67,-0.67,-0.67,-0.6,-0.83,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,0.07,-0.3,-0.3,-0.37,-0.44,-0.44,-0.44,-0.44,-0.44,-0.46,-0.44,-0.46,-0.46,-0.46,-0.46,-0.46,-0.53,-0.53,-0.53,-0.53,-0.6,-0.6,-0.6,-0.63,-0.63,-0.67,-0.67,-0.67,-0.67,-0.6,-0.67,-0.73,"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",0.07,0.07,0.07,0.07,-0.3,-0.3,-0.3,-0.37,-0.37,-0.44,-0.46,-0.46,-0.46,-0.46,-0.46,-0.53,-0.46,-0.46,-0.53,-0.53,-0.53,-0.53,-0.6,-0.6,-0.6,-0.63,-0.65,-0.67,-0.67,-0.67,-0.73,-0.67,-0.7,-0.73,-0.46,-0.65,-0.67,"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",0.07,0.07,-0.3,-0.3,-0.37,-0.37,-0.37,-0.44,-0.46,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.6,-0.6,-0.6,-0.65,-0.67,-0.67,-0.71,-0.73,-0.73,-0.8,-0.8,-0.8,-1.03,-1.03,"","","","","","","","","","","","","","","","","","","","","","","","",""
